Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
10,3,10-3,Leaf,,,,,-0.0051145074,5.81193542,
10,4,10-4,Leaf,,,,,0.0116572985,10.0920906,
11,0,11-0,mean_iat,0.00240000011,11-1,11-2,11-2,35.2061768,28.3099308,
11,1,11-1,Leaf,,,,,-0.0057571549,24.341116,
11,2,11-2,Leaf,,,,,0.0233583562,3.96881366,
12,0,12-0,avg_dt_intensity,81906964100000.0,12-1,12-2,12-2,48.3717422,30.019371,
12,1,12-1,Leaf,,,,,-0.00575036276,24.2410259,
12,2,12-2,Leaf,,,,,0.0243384242,5.77834558,
13,0,13-0,std_iat,7.49693791e-05,13-1,13-2,13-2,17.2777042,29.7037144,
13,1,13-1,Leaf,,,,,-0.00569605688,19.554924,
13,2,13-2,avg_dt_intensity,639696699000.0,13-3,13-4,13-4,19.781208,10.1487894,
13,3,13-3,Leaf,,,,,-0.00493618054,4.6879015,
13,4,13-4,avg_min_pkt_size,45.2000008,13-5,13-6,13-6,0.494354248,5.46088743,
13,5,13-5,Leaf,,,,,0.00621378422,1.12673855,
13,6,13-6,Leaf,,,,,0.0231953952,4.33414888,
14,0,14-0,dt_intensity,638723490000.0,14-1,14-2,14-2,14.1287584,30.4868374,
14,1,14-1,total_packets,3098.0,14-3,14-4,14-4,20.5482216,9.00541973,
14,2,14-2,Leaf,,,,,-0.00572092319,21.4814186,
14,3,14-3,Leaf,,,,,-0.00498297578,4.95910692,
14,4,14-4,Leaf,,,,,0.0228821822,4.04631281,
15,0,15-0,max_iat,0.000239999994,15-1,15-2,15-2,34.807579,29.3972263,
15,1,15-1,Leaf,,,,,0.0229308102,4.03830004,
15,2,15-2,Leaf,,,,,-0.00576132862,25.3589268,
16,0,16-0,std_iat,3.54718891e-15,16-1,16-2,16-2,18.2460823,26.9941025,
16,1,16-1,bytes,3073900.0,16-3,16-4,16-4,13.1870813,11.5503378,
16,2,16-2,Leaf,,,,,-0.00562506262,15.4437647,
16,3,16-3,Leaf,,,,,-0.0046827537,3.58469582,
16,4,16-4,total_bytes,30995078.0,16-5,16-6,16-6,15.3868904,7.9656415,
16,5,16-5,Leaf,,,,,0.0245429557,5.7353158,
16,6,16-6,Leaf,,,,,-0.00414638687,2.23032594,
17,0,17-0,duration,5.00159979,17-1,17-2,17-2,28.9327793,29.1432858,
17,1,17-1,avg_dt_intensity,6399206910.0,17-3,17-4,17-4,8.63340187,25.3875542,
17,2,17-2,Leaf,,,,,0.0225485265,3.75573206,
17,3,17-3,Leaf,,,,,0.0153108723,1.15522027,
17,4,17-4,Leaf,,,,,-0.00574977556,24.2323341,
18,0,18-0,avg_dt_intensity,81906964100000.0,18-1,18-2,18-2,40.4930229,28.6013317,
18,1,18-1,Leaf,,,,,-0.00573845534,23.5947838,
18,2,18-2,Leaf,,,,,0.023223402,5.0065484,
19,0,19-0,directions,0.666698873,19-1,19-2,19-2,11.2876682,28.6156788,
19,1,19-1,byte_rate,6141961.5,19-3,19-4,19-4,10.4243622,13.7980499,
